anio,mes,produccion_petroleo,produccion_gas,pozos_activos,pozos_nuevos
2021,1,96999.971498,3998.4164342,3660,3673
2021,2,83233.670986,3505.785425,3577,0
2021,3,93288.301759,3937.385785,3664,0
2021,4,94448.064233,3922.123445,3664,0
2021,5,98521.937118,4081.578993,3667,0
2021,6,91704.236139,3833.4961,3667,0
2021,7,96300.990947,4065.302114,3673,0
2021,8,97706.043127,4436.020145,3673,0
2021,9,91556.48985,4231.799153,3673,0
2021,10,93997.197073,4321.655764,3673,0
2021,11,91095.488399,4328.576609,3673,0
2021,12,93424.817093,4457.738896,3673,0
2022,1,94119.440821,4341.963315,3674,10
2022,2,84523.983913,3844.682707,3676,0
2022,3,94005.183924,4376.325562,3677,0
2022,4,89778.651705,4122.619872,3677,0
2022,5,93798.834267,4385.337604,3667,0
2022,6,90471.042047,4099.621218,3667,0
2022,7,92947.073231,4122.961995,3671,0
2022,8,92271.872894,4434.923099,3671,0
2022,9,88905.038888,4146.815282,3672,0
2022,10,92820.287765,4373.55425,3672,0
2022,11,88010.919976,4516.71376,3672,0
2022,12,87133.648019,4209.604623,3672,0
2023,1,86841.900905,4279.706167,3672,1
2023,2,78050.176111,3909.121994,3672,0
2023,3,85460.169245,4262.514055,3673,0
2023,4,82983.453139,4193.459907,3673,0
2023,5,85400.676138,4543.207797,3672,0
2023,6,83791.938897,4568.570211,3672,0
2023,7,84943.335988,4600.185529,3672,0
2023,8,85565.992835,4536.265671,3672,0
2023,9,80442.133937,4526.973322,3672,0
2023,10,82263.42564,4342.229258,3672,0
2023,11,77377.11381,3886.28608,3672,0
2023,12,81429.808784,4241.861211,3672,0
2024,1,81501.788888,4557.405721,3675,4
2024,2,74186.116113,4046.616547,3676,0
2024,3,80720.891858,4272.157748,3676,0
2024,4,79869.965029,4405.768574,3676,0
2024,5,80405.758176,4333.640519,3676,0
2024,6,77742.131026,4337.474022,3676,0
2024,7,80037.431595,3581.383075,3676,0
2024,8,78235.670274,3592.265385,3676,0
2024,9,75311.102843,3488.385708,3676,0
2024,10,76815.583031,3578.44142,3676,0
2024,11,73854.464068,3431.557576,3676,0
2024,12,76597.079816,3619.610854,3676,0
2025,1,75431.101995,3564.286573,3676,9
2025,2,68019.653909,3256.309202,3676,0
2025,3,74606.883093,3483.673851,3676,0
2025,4,71159.552012,3292.94979133,3676,0
2025,5,73583.04708,3824.816305,3679,0
2025,6,70240.49998,2905.813407,3679,0
2025,7,71202.83274,2972.7633180000003,3679,0
2025,8,69942.06292,3063.259047,3684,0
2025,9,67319.48924,2959.090248,3684,0
2025,10,68472.136925,3066.470718,3684,0
2025,11,66053.40108,2934.152433,3685,0
2025,12,68151.19412,3022.743403,3685,0
2026,1,66309.38193,2904.474119,3685,0
2026,2,60262.022041,2480.443653,3686,1
2026,3,65889.98298,2715.838586,3687,1
2026,4,62970.04096,2778.75736,3689,2
2026,5,66522.07394,2732.530817,3690,1
2026,6,64536.54408,2609.4672649999998,3678,0
2026,7,65530.56397,2629.004834,3678,0
2026,8,4936.576,213.49,102,0
