idpozo,fecha_data,anio,mes,areayacimiento,prod_pet,prod_gas,prod_agua,tipo_de_recurso
162019,2021-01-31,2021,1,UGARTECHE,0.0,0.0,235.47,CONVENCIONAL
160838,2021-01-31,2021,1,UGARTECHE,91.23,3.23,10.23,CONVENCIONAL
160267,2021-01-31,2021,1,UGARTECHE,32.58,1.2,83.11,CONVENCIONAL
160265,2021-01-31,2021,1,MESA VERDE,843.53,30.47,313.61,CONVENCIONAL
160142,2021-01-31,2021,1,LA VENTANA CENTRAL,37.81,2.1,189.83,CONVENCIONAL
159828,2021-01-31,2021,1,UGARTECHE,148.57,5.24,48.47,CONVENCIONAL
159698,2021-01-31,2021,1,MESA VERDE,1189.01,41.56,135.3,CONVENCIONAL
159696,2021-01-31,2021,1,MESA VERDE,0.0,0.0,0.0,CONVENCIONAL
159482,2021-01-31,2021,1,MESA VERDE,0.0,0.0,0.0,CONVENCIONAL
159481,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
159268,2021-01-31,2021,1,UGARTECHE,270.44,9.52,30.99,CONVENCIONAL
159267,2021-01-31,2021,1,UGARTECHE,270.44,9.52,30.99,CONVENCIONAL
159116,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,0.0,0.0,0.0,CONVENCIONAL
158732,2021-01-31,2021,1,MESA VERDE,0.0,0.0,0.0,CONVENCIONAL
158545,2021-01-31,2021,1,UGARTECHE,326.36,6.34,172.93,CONVENCIONAL
158544,2021-01-31,2021,1,MESA VERDE,0.0,0.0,0.0,CONVENCIONAL
158543,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,100.35,1.57,490.09,CONVENCIONAL
158401,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
158348,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
158123,2021-01-31,2021,1,MESA VERDE,472.51,16.78,155.3,CONVENCIONAL
158119,2021-01-31,2021,1,PUNTA DE LAS BARDAS,60.62,1.87,5600.48,CONVENCIONAL
129743,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
157827,2021-01-31,2021,1,CAÑADA DURA ,0.0,0.0,0.0,CONVENCIONAL
157772,2021-01-31,2021,1,BARRANCAS,190.13,5.47,3680.38,CONVENCIONAL
157392,2021-01-31,2021,1,LA VENTANA CENTRAL,8.82,0.41,416.45,CONVENCIONAL
157296,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
157293,2021-01-31,2021,1,ESTRUCTURA CRUZ DE PIEDRA,134.07,3.03,769.69,CONVENCIONAL
130126,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
157095,2021-01-31,2021,1,VIZCACHERAS,419.34,25.25,18554.66,CONVENCIONAL
156954,2021-01-31,2021,1,VIZCACHERAS,0.0,0.0,0.0,CONVENCIONAL
